"National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

"
2015 Prohibited Species Catch Crab (includes CDQ)
Through Date:
December 31 2015

SPECIES,SPECIES NAME,GEAR,REPORTING AREA,TARGET,WEEK,SECTOR,GROUNDFISH (MT),NUMBER OF CRAB,NUMBER OF CRAB/MT GROUNDFISH
BKCR,Blue King Crab,HAL,513,Pacific Cod,6/6/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,6/13/15,Catcher Processor,C,7,0.057726530720253987
BKCR,Blue King Crab,HAL,513,Pacific Cod,6/20/15,Catcher Processor,482.82,1,0.0020711636988216924
BKCR,Blue King Crab,HAL,513,Pacific Cod,6/27/15,Catcher Processor,1084.611,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,7/4/15,Catcher Processor,1239.522,11,0.008874390441815335
BKCR,Blue King Crab,HAL,513,Pacific Cod,7/11/15,Catcher Processor,1074.688,6,0.005583018052921592
BKCR,Blue King Crab,HAL,513,Pacific Cod,7/18/15,Catcher Processor,874.789,4,0.004572530727296329
BKCR,Blue King Crab,HAL,513,Pacific Cod,7/25/15,Catcher Processor,921.226,3,0.0032565309235026377
BKCR,Blue King Crab,HAL,513,Pacific Cod,8/1/15,Catcher Processor,969.083,3,0.0030957086794411327
BKCR,Blue King Crab,HAL,513,Pacific Cod,8/8/15,Catcher Processor,698.846,21,0.030049528282211302
BKCR,Blue King Crab,HAL,513,Pacific Cod,8/15/15,Catcher Processor,1195.515,22,0.018402116553617915
BKCR,Blue King Crab,HAL,513,Pacific Cod,8/22/15,Catcher Processor,1496.648,12,0.008017914816069095
BKCR,Blue King Crab,HAL,513,Pacific Cod,8/29/15,Catcher Processor,1176.426,32,0.027201030918405925
BKCR,Blue King Crab,HAL,513,Pacific Cod,9/5/15,Catcher Processor,916.421,22,0.024006442827532476
BKCR,Blue King Crab,HAL,513,Pacific Cod,9/12/15,Catcher Processor,900.627,7,0.007772367200775893
BKCR,Blue King Crab,HAL,513,Pacific Cod,9/19/15,Catcher Processor,937.432,14,0.014934418860395923
BKCR,Blue King Crab,HAL,513,Pacific Cod,9/26/15,Catcher Processor,573.993,18,0.03135925734678552
BKCR,Blue King Crab,HAL,513,Pacific Cod,10/3/15,Catcher Processor,547.62,13,0.02373910342313024
BKCR,Blue King Crab,HAL,513,Pacific Cod,10/10/15,Catcher Processor,353.361,8,0.022639729164946474
BKCR,Blue King Crab,HAL,513,Pacific Cod,10/17/15,Catcher Processor,614.456,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,10/24/15,Catcher Processor,538.752,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,10/31/15,Catcher Processor,425.64,32,0.0751808888270184
BKCR,Blue King Crab,HAL,513,Pacific Cod,11/7/15,Catcher Processor,226.536,7,0.03090021485695661
BKCR,Blue King Crab,HAL,513,Pacific Cod,11/14/15,Catcher Processor,285.419,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,11/21/15,Catcher Processor,395.319,2,0.00505920425127633
BKCR,Blue King Crab,HAL,513,Pacific Cod,11/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,12/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,12/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,12/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,513,Pacific Cod,12/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,'Other' Species,8/15/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,6/20/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,6/27/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,7/4/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,7/11/15,Catcher Processor,429.608,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,7/18/15,Catcher Processor,314.701,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,7/25/15,Catcher Processor,580.042,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,8/1/15,Catcher Processor,757.098,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,8/8/15,Catcher Processor,172.799,3,0.017361189535291487
BKCR,Blue King Crab,HAL,514,Pacific Cod,8/15/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,8/22/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,8/29/15,Catcher Processor,416.49,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,9/5/15,Catcher Processor,437.863,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,9/12/15,Catcher Processor,114.101,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,9/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,9/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,10/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,10/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,10/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,514,Pacific Cod,11/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,1/10/15,Catcher Processor,180.263,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,1/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,1/24/15,Catcher Processor,244.622,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,1/31/15,Catcher Processor,173.391,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,2/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,2/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,2/21/15,Catcher Processor,571.067,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,2/28/15,Catcher Processor,417.761,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,3/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,3/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,3/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,3/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,4/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,9/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,516,Pacific Cod,11/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,1/3/15,Catcher Processor,173.069,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,1/10/15,Catcher Processor,994.074,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,1/17/15,Catcher Processor,1320.337,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,1/24/15,Catcher Processor,948.735,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,1/31/15,Catcher Processor,489.96,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,2/7/15,Catcher Processor,357.154,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,2/14/15,Catcher Processor,261.636,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,2/21/15,Catcher Processor,100.23,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,2/28/15,Catcher Processor,199.405,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,3/7/15,Catcher Processor,475.511,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,3/14/15,Catcher Processor,180.642,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,3/21/15,Catcher Processor,557.876,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,3/28/15,Catcher Processor,313.888,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,4/4/15,Catcher Processor,420.693,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,4/11/15,Catcher Processor,178.172,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,4/18/15,Catcher Processor,280.595,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,4/25/15,Catcher Processor,304.061,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,5/2/15,Catcher Processor,153.397,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,5/9/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,6/20/15,Catcher Processor,54.729,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,6/27/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,7/4/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,7/11/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,7/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,7/25/15,Catcher Processor,645.941,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,8/1/15,Catcher Processor,664.909,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,8/8/15,Catcher Processor,586.56,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,8/15/15,Catcher Processor,544.902,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,8/22/15,Catcher Processor,545.228,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,8/29/15,Catcher Processor,469.355,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,9/5/15,Catcher Processor,803.216,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,9/12/15,Catcher Processor,988.297,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,9/19/15,Catcher Processor,937.636,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,9/26/15,Catcher Processor,1448.797,6,0.0041413674901553165
BKCR,Blue King Crab,HAL,517,Pacific Cod,10/3/15,Catcher Processor,1518.261,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,10/10/15,Catcher Processor,1408.262,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,10/17/15,Catcher Processor,1862.98,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,10/24/15,Catcher Processor,1656.391,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,10/31/15,Catcher Processor,908.976,0,0
BKCR,Blue King Crab,HAL,517,Pacific Cod,11/7/15,Catcher Processor,401.263,0,0
