"National Marine Fisheries Service
P.O. Box 21668
Juneau AK  99802-1668

"
2015 Prohibited Species Catch Crab (includes CDQ)
Through Date:
December 31 2015

SPECIES,SPECIES NAME,GEAR,REPORTING AREA,TARGET,WEEK,SECTOR,GROUNDFISH (MT),NUMBER OF CRAB,NUMBER OF CRAB/MT GROUNDFISH
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,10/17/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,10/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,10/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,10/24/15,Shoreside,80.732,0,0
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,11/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,11/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,12/5/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,630,Shallow-Water Flatfish,12/5/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,640,Rockfish,7/4/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,640,Rockfish,7/11/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,640,Rockfish,7/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,640,Sablefish,7/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,5/9/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,5/23/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,5/30/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,6/6/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,6/13/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,6/27/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,7/4/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,7/11/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,7/25/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,8/1/15,Shoreside,C,0,0
BKCR,Blue King Crab,NPT,649,Rockfish,8/8/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/3/15,Shoreside,404.048,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/10/15,Catcher Processor,301.531,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/10/15,Shoreside,867.845,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/17/15,Shoreside,808.157,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/17/15,Catcher Processor,369.488,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/24/15,Shoreside,1446.569,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,1/31/15,Shoreside,956.8,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,2/7/15,Shoreside,991.121,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,2/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,2/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,2/14/15,Shoreside,797.834,9,0.011280535695552455
BKCR,Blue King Crab,POT,509,Pacific Cod,2/21/15,Shoreside,1376.098,8,0.0058135382050966715
BKCR,Blue King Crab,POT,509,Pacific Cod,2/28/15,Shoreside,1534.861,8,0.005212198984320705
BKCR,Blue King Crab,POT,509,Pacific Cod,3/7/15,Shoreside,1214.419,4,0.0032937566152493325
BKCR,Blue King Crab,POT,509,Pacific Cod,3/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,3/14/15,Shoreside,687.177,3,0.004365687747999637
BKCR,Blue King Crab,POT,509,Pacific Cod,3/21/15,Shoreside,575.589,4,0.006949400416743829
BKCR,Blue King Crab,POT,509,Pacific Cod,3/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,3/28/15,Shoreside,359.888,2,0.005557278921799918
BKCR,Blue King Crab,POT,509,Pacific Cod,3/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,4/4/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,4/4/15,Shoreside,254.606,2,0.007855284740892445
BKCR,Blue King Crab,POT,509,Pacific Cod,8/15/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,8/22/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,8/29/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,9/5/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,9/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,9/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,9/19/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,9/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,9/26/15,Shoreside,140.584,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,9/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,10/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,10/3/15,Shoreside,101.902,10,0.09813339562652872
BKCR,Blue King Crab,POT,509,Pacific Cod,10/10/15,Shoreside,19.968,3,0.15023707944553255
BKCR,Blue King Crab,POT,509,Pacific Cod,10/10/15,Catcher Processor,305.439,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,10/17/15,Catcher Processor,166.041,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,10/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,10/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,11/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,12/5/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,12/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,12/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,509,Pacific Cod,12/31/15,Shoreside,C,6,0.40883581702633603
BKCR,Blue King Crab,POT,512,Pacific Cod,10/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,512,Pacific Cod,10/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,512,Pacific Cod,10/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,512,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,512,Pacific Cod,11/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,512,Pacific Cod,11/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,512,Pacific Cod,12/5/15,Catcher Processor,C,6,0.3794704996045619
BKCR,Blue King Crab,POT,513,Pacific Cod,1/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,513,Pacific Cod,1/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,9/5/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,9/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,9/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,9/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,10/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,10/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,10/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,10/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,10/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,11/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,516,Pacific Cod,11/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/3/15,Shoreside,193.877,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/10/15,Shoreside,699.463,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/17/15,Shoreside,752.572,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/24/15,Shoreside,588.762,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/31/15,Shoreside,204.882,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,1/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,2/7/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,2/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,2/14/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,2/21/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,2/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,2/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,2/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,3/7/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,3/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,3/14/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,3/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,3/21/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,3/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,4/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,5/2/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,5/9/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,5/16/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,9/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,9/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,9/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,9/19/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,9/26/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,10/3/15,Shoreside,C,2,0.12380442619800151
BKCR,Blue King Crab,POT,517,Pacific Cod,10/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,10/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,10/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,10/31/15,Shoreside,C,1,0.14609630747509983
BKCR,Blue King Crab,POT,517,Pacific Cod,11/7/15,Shoreside,C,3,0.22410418655457762
BKCR,Blue King Crab,POT,517,Pacific Cod,11/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,517,Pacific Cod,11/14/15,Shoreside,C,2,0.20817187076984822
BKCR,Blue King Crab,POT,517,Pacific Cod,11/21/15,Shoreside,C,9,0.2828926151272468
BKCR,Blue King Crab,POT,517,Pacific Cod,11/28/15,Shoreside,C,22,0.31756328225845515
BKCR,Blue King Crab,POT,517,Pacific Cod,12/5/15,Shoreside,C,17,0.380745779052383
BKCR,Blue King Crab,POT,517,Pacific Cod,12/12/15,Shoreside,C,25,0.527091627465868
BKCR,Blue King Crab,POT,517,Pacific Cod,12/31/15,Shoreside,131.421,55,0.41850379340811944
BKCR,Blue King Crab,POT,518,Pacific Cod,12/31/15,Shoreside,C,20,0.42272583143342424
BKCR,Blue King Crab,POT,518,Sablefish,6/6/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,6/13/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,6/20/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,6/27/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,7/4/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,7/11/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,7/18/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,7/25/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,8/1/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,8/8/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,8/15/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,8/22/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,8/29/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,9/5/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,9/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,9/19/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,9/26/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,518,Sablefish,10/3/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,1/3/15,Shoreside,379.044,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,1/10/15,Shoreside,920.748,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,1/17/15,Shoreside,980.023,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,1/24/15,Shoreside,871.118,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,1/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,1/31/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,1/31/15,Shoreside,677.701,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,2/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,2/7/15,Shoreside,62.227,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,2/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,2/14/15,Shoreside,428.458,2,0.004667906815711969
BKCR,Blue King Crab,POT,519,Pacific Cod,2/21/15,Shoreside,903.385,18,0.01992506290380085
BKCR,Blue King Crab,POT,519,Pacific Cod,2/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,2/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,2/28/15,Shoreside,661.021,14,0.021179343860515357
BKCR,Blue King Crab,POT,519,Pacific Cod,3/7/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,3/7/15,Shoreside,632.316,11,0.0173963578094472
BKCR,Blue King Crab,POT,519,Pacific Cod,3/14/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,3/14/15,Shoreside,394.643,6,0.015203622876685882
BKCR,Blue King Crab,POT,519,Pacific Cod,3/21/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,3/21/15,Shoreside,561.929,9,0.016016255823544268
BKCR,Blue King Crab,POT,519,Pacific Cod,3/28/15,Shoreside,677.101,9,0.013291952461223167
BKCR,Blue King Crab,POT,519,Pacific Cod,3/28/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,4/4/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,4/4/15,Shoreside,518.669,3,0.005784032489737741
BKCR,Blue King Crab,POT,519,Pacific Cod,4/11/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,4/18/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,4/18/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,4/25/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,5/2/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,5/9/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,5/16/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,9/5/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,9/12/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,9/12/15,Shoreside,302.257,1,0.003308442218037457
BKCR,Blue King Crab,POT,519,Pacific Cod,9/19/15,Shoreside,320.572,1,0.003119423680530449
BKCR,Blue King Crab,POT,519,Pacific Cod,9/19/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,9/26/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,9/26/15,Shoreside,438.02,1,0.002283002143447296
BKCR,Blue King Crab,POT,519,Pacific Cod,10/3/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,10/3/15,Shoreside,422.893,21,0.04965796643546847
BKCR,Blue King Crab,POT,519,Pacific Cod,10/10/15,Shoreside,207.984,18,0.08654496492036434
BKCR,Blue King Crab,POT,519,Pacific Cod,10/10/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,519,Pacific Cod,10/17/15,Shoreside,316.706,35,0.110512487603422
BKCR,Blue King Crab,POT,519,Pacific Cod,10/24/15,Shoreside,210.485,35,0.16628284072021732
BKCR,Blue King Crab,POT,519,Pacific Cod,10/31/15,Shoreside,183.697,32,0.1742000699565058
BKCR,Blue King Crab,POT,519,Pacific Cod,11/7/15,Shoreside,129.849,23,0.17712815068933116
BKCR,Blue King Crab,POT,519,Pacific Cod,11/14/15,Shoreside,103.8,22,0.21194522676304853
BKCR,Blue King Crab,POT,519,Pacific Cod,11/21/15,Shoreside,259.772,70,0.26946709298826105
BKCR,Blue King Crab,POT,519,Pacific Cod,11/28/15,Shoreside,234.184,72,0.3074506621842528
BKCR,Blue King Crab,POT,519,Pacific Cod,12/5/15,Shoreside,243.727,80,0.3282357014540564
BKCR,Blue King Crab,POT,519,Pacific Cod,12/12/15,Shoreside,337.502,137,0.4059229889190307
BKCR,Blue King Crab,POT,519,Pacific Cod,12/19/15,Shoreside,138.179,62,0.4486929995779262
BKCR,Blue King Crab,POT,519,Pacific Cod,12/26/15,Shoreside,185.149,79,0.4266831384520624
BKCR,Blue King Crab,POT,519,Pacific Cod,12/31/15,Shoreside,395.988,113,0.2853622633217938
BKCR,Blue King Crab,POT,519,Sablefish,5/2/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Sablefish,5/9/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Sablefish,5/16/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,519,Sablefish,10/17/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,521,Pacific Cod,1/17/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,521,Pacific Cod,1/24/15,Catcher Processor,C,0,0
BKCR,Blue King Crab,POT,521,Pacific Cod,11/14/15,Catcher Processor,C,426,7.8771242579369884
BKCR,Blue King Crab,POT,521,Pacific Cod,11/21/15,Catcher Processor,C,288,1.9639645242541437
BKCR,Blue King Crab,POT,521,Pacific Cod,11/28/15,Catcher Processor,C,184,1.593122283304416
BKCR,Blue King Crab,POT,541,Sablefish,6/27/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,541,Sablefish,7/4/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,541,Sablefish,10/3/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,1/3/15,Shoreside,162.558,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,1/10/15,Shoreside,931.056,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,1/17/15,Shoreside,1369.546,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,1/24/15,Shoreside,623.944,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,1/31/15,Shoreside,795.618,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,2/7/15,Shoreside,1050.485,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,2/14/15,Shoreside,813.665,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,3/7/15,Shoreside,549.704,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,3/14/15,Shoreside,2086.886,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,3/21/15,Shoreside,2884.98,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,3/28/15,Shoreside,3161.32,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,4/4/15,Shoreside,1352.403,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,9/5/15,Shoreside,161.665,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,9/12/15,Shoreside,121.292,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,9/19/15,Shoreside,49.321,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,9/26/15,Shoreside,140.346,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,10/3/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,10/10/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,10/17/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,10/24/15,Shoreside,135.503,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,10/31/15,Shoreside,162.201,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,11/7/15,Shoreside,250.977,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,11/14/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,11/21/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,11/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,12/5/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,12/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,12/19/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,12/26/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,610,Pacific Cod,12/31/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,1/3/15,Shoreside,143.81,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,1/10/15,Shoreside,406.645,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,1/17/15,Shoreside,579.481,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,1/24/15,Shoreside,575.679,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,1/31/15,Shoreside,397.498,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,2/7/15,Shoreside,495.441,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,2/14/15,Shoreside,615.21,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,2/21/15,Shoreside,67.382,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,2/28/15,Shoreside,220.993,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,3/7/15,Shoreside,1966.382,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,3/14/15,Shoreside,1238.9,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,3/21/15,Shoreside,1775.352,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,3/28/15,Shoreside,474.035,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,9/5/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,9/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,9/19/15,Shoreside,304.391,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,9/26/15,Shoreside,125.891,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,10/3/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,10/10/15,Shoreside,126.772,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,10/17/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,10/24/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,10/31/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,11/7/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,11/14/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,11/28/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,12/5/15,Shoreside,233.219,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,12/12/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,12/19/15,Shoreside,162.648,0,0
BKCR,Blue King Crab,POT,620,Pacific Cod,12/31/15,Shoreside,C,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,1/3/15,Shoreside,351.433,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,1/10/15,Shoreside,819.735,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,1/17/15,Shoreside,613.569,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,1/24/15,Shoreside,886.744,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,1/31/15,Shoreside,653.153,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,2/7/15,Shoreside,985.842,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,2/14/15,Shoreside,1049.468,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,2/21/15,Shoreside,162.843,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,2/28/15,Shoreside,1060.291,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,3/7/15,Shoreside,955.909,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,3/14/15,Shoreside,440.968,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,3/21/15,Shoreside,985.488,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,3/28/15,Shoreside,311.185,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,4/4/15,Shoreside,151.221,0,0
BKCR,Blue King Crab,POT,630,Pacific Cod,4/11/15,Shoreside,52.234,0,0
